model,seed,cond,dataset,cell,n_correct,n_total,cs_margin
hgt,45,all_sem,matrix,Benign/header_field,0,10,
hgt,45,all_sem,matrix,Benign/json_field,0,10,
hgt,45,all_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,45,all_sem,matrix,SQLi/comment_splitting,10,10,16.93814468383789
hgt,45,all_sem,matrix,SQLi/case_mixing,10,10,
hgt,45,all_sem,matrix,XSS/data_uri_base64,0,10,
hgt,45,all_sem,matrix,XSS/event_handler_focus,0,10,
hgt,45,all_sem,matrix,XSS/svg_script_variant,0,10,
hgt,45,all_sem,test_split,all,1214,4215,
hgt,45,cyclic,matrix,Benign/field_query,0,10,
hgt,45,cyclic,matrix,Benign/header_field,0,10,
hgt,45,cyclic,matrix,Benign/json_field,0,10,
hgt,45,cyclic,matrix,SQLi/sql_new_commands,10,10,
hgt,45,cyclic,matrix,SQLi/comment_splitting,10,10,14.71888542175293
hgt,45,cyclic,matrix,SQLi/case_mixing,10,10,
hgt,45,cyclic,matrix,XSS/data_uri_base64,0,10,
hgt,45,cyclic,matrix,XSS/event_handler_focus,0,10,
hgt,45,cyclic,matrix,XSS/svg_script_variant,0,10,
hgt,45,cyclic,test_split,all,1214,4215,
hgt,45,swap_seq_skip,matrix,Benign/field_query,10,10,
hgt,45,swap_seq_skip,matrix,Benign/header_field,10,10,
hgt,45,swap_seq_skip,matrix,Benign/json_field,10,10,
hgt,45,swap_seq_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,45,swap_seq_skip,matrix,SQLi/comment_splitting,10,10,6.292415618896484
hgt,45,swap_seq_skip,matrix,SQLi/case_mixing,10,10,
hgt,45,swap_seq_skip,matrix,XSS/data_uri_base64,10,10,
hgt,45,swap_seq_skip,matrix,XSS/event_handler_focus,10,10,
hgt,45,swap_seq_skip,matrix,XSS/svg_script_variant,10,10,
hgt,45,swap_seq_skip,test_split,all,4211,4215,
hgt,45,sem_as_seq,matrix,Benign/field_query,10,10,
hgt,45,sem_as_seq,matrix,Benign/header_field,10,10,
hgt,45,sem_as_seq,matrix,Benign/json_field,10,10,
hgt,45,sem_as_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,45,sem_as_seq,matrix,SQLi/comment_splitting,0,10,-0.6530526876449585
hgt,45,sem_as_seq,matrix,SQLi/case_mixing,10,10,
hgt,45,sem_as_seq,matrix,XSS/data_uri_base64,10,10,
hgt,45,sem_as_seq,matrix,XSS/event_handler_focus,10,10,
hgt,45,sem_as_seq,matrix,XSS/svg_script_variant,10,10,
hgt,45,sem_as_seq,test_split,all,4207,4215,
hgt,45,sem_as_skip,matrix,Benign/field_query,10,10,
hgt,45,sem_as_skip,matrix,Benign/header_field,10,10,
hgt,45,sem_as_skip,matrix,Benign/json_field,10,10,
hgt,45,sem_as_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,45,sem_as_skip,matrix,SQLi/comment_splitting,0,10,-0.8307870626449585
hgt,45,sem_as_skip,matrix,SQLi/case_mixing,10,10,
hgt,45,sem_as_skip,matrix,XSS/data_uri_base64,10,10,
hgt,45,sem_as_skip,matrix,XSS/event_handler_focus,10,10,
hgt,45,sem_as_skip,matrix,XSS/svg_script_variant,10,10,
hgt,45,sem_as_skip,test_split,all,4207,4215,
hgt,45,random,matrix,Benign/field_query,0,10,
